osm_id,name,brand,brand_classified,lat,lon,area_sqm,address,operator,source
node/3751296602,Woolworths,Woolworths,woolworths,-28.7746128,114.6122392,,WA,,node
node/3751435276,Woolworths,Woolworths,woolworths,-12.4008033,130.9155059,,,Woolworths Group,node
node/3759068231,Woolworths,Woolworths,woolworths,-12.4605581,130.8405146,,,Woolworths Group,node
node/3759068232,Woolworths,Woolworths,woolworths,-12.5744285,131.1010994,,,,node
node/3760400319,Windy Harbour Store,,independent,-34.8372469,116.0257786,,,,node
node/3771288252,Woolworths,Woolworths,woolworths,-23.8469856,151.2593946,,,,node
node/3776153491,Coles,Coles,coles,-30.7306717,121.4536779,,"89 Graeme Street, WA",Coles Group,node
node/3776242859,Kepnock Corner Store,,independent,-24.8728111,152.3724087,,,,node
node/3778276554,"Farmer's Jack, Woodlands",,independent,-31.9082862,115.7914294,,,,node
node/3780487395,IGA Express,IGA,iga_express,-24.8589634,152.3428037,,,,node
node/3780690059,Hahndorf IGA,IGA,iga,-35.032695,138.8121286,,,,node
node/3792248311,Foodworks,Foodworks,foodworks,-35.8120442,145.5654443,,,,node
node/3800095557,Coles,Coles,coles,-37.803803,144.983619,,"172 Smith Street, Collingwood, VIC, 3066",Coles Group,node
node/3802996194,Allansford Cheese World,,independent,-38.3954714,142.628306,,"5332 Great Ocean Road, Allansford",,node
node/3804943943,Woolworths,Woolworths,woolworths,-34.6702618,138.6796271,,297 Peachey Road,Woolworths Group,node
node/3807666378,Coles,Coles,coles,-27.9473159,153.3525023,,230-232 Napper Road,Coles Group,node
node/3812054533,IGA Norris Park,IGA,iga,-36.0512888,146.9212283,,"545 Union Road, North Albury, 2640",,node
node/3827816969,Woolworths,Woolworths,woolworths,-34.6793685,138.7041619,,,Woolworths Group,node
