Rank,Deal Score,Item,State,Pharmacy Name,Pharmacy Address,Target Centre,Distance (m),Centre Tenants,Centre GLA (sqm),Existing Pharmacies in Centre,Key Reason,Why Opportunity
169,0.55,Item 124,TAS,Kingborough Pharmacy,"11 John Street, KINGSTON, TAS, 7050",Kingston Town Shopping Centre,811.0,20,5000.0,1,Pharmacy 'Kingborough Pharmacy' is 811m from large shopping centre 'Kingston Town Shopping Centre',
170,0.55,Item 124,TAS,TerryWhite Chemmart Kingston Plaza,"Shop 8 - 9 Kingston Plaza, 20 Channel Highway, KINGSTON, TAS, 7050",Kingston Town Shopping Centre,875.0,20,5000.0,1,Pharmacy 'TerryWhite Chemmart Kingston Plaza' is 875m from large shopping centre 'Kingston Town Shopping Centre',
171,0.55,Item 124,TAS,Good Price Pharmacy Warehouse Kingston,"Shop 3 Kingston Gateway, 14 Channel Highway, KINGSTON, TAS, 7050",Channel Court Shopping Centre,365.0,80,16000.0,4,Pharmacy 'Good Price Pharmacy Warehouse Kingston' is 365m from large shopping centre 'Channel Court Shopping Centre',pharmacy 365m from centre
172,0.55,Item 125,TAS,Good Price Pharmacy Warehouse Kingston,"Shop 3 Kingston Gateway, 14 Channel Highway, KINGSTON, TAS, 7050",Kingston Town Shopping Centre,1043.0,20,5000.0,1,Pharmacy 'Good Price Pharmacy Warehouse Kingston' is 1043m from large shopping centre 'Kingston Town Shopping Centre',
173,0.55,Item 125,TAS,Chemist Warehouse New Town TAS,"Shop 10 Centro New Town Plaza 1 Risdon Rd, New Town, TAS, 7008",Autobarn,1288.0,20,5000.0,1,Pharmacy 'Chemist Warehouse New Town TAS' is 1288m from large shopping centre 'Autobarn',
174,0.55,Item 125,TAS,Chemist Warehouse Moonah,"38 to 74 Main Road, Moonah, TAS, 7009",New Town Plaza,1353.0,20,5000.0,1,Pharmacy 'Chemist Warehouse Moonah' is 1353m from large shopping centre 'New Town Plaza',
175,0.55,Item 124,TAS,TerryWhite Chemmart Kingston Plaza,"Shops 8 and 9, Kingston Plaza Shopping Centre, 20 Channel Highway, Kingston, TAS, 7050",Kingston Town Shopping Centre,917.0,20,5000.0,1,Pharmacy 'TerryWhite Chemmart Kingston Plaza' is 917m from large shopping centre 'Kingston Town Shopping Centre',
176,0.55,Item 125,TAS,Invermay Discount Drug Store,,Gateway Shopping Centre (Launceston),1044.0,28,7000.0,1,Pharmacy 'Invermay Discount Drug Store' is 1044m from large shopping centre 'Gateway Shopping Centre (Launceston)',
177,0.55,Item 124,TAS,Chemist Warehouse,,Thirsty Camel Glenorchy,844.0,20,5000.0,1,Pharmacy 'Chemist Warehouse' is 844m from large shopping centre 'Thirsty Camel Glenorchy',
178,0.55,Item 125,TAS,Blooms The Chemist Glenorchy,"Shop 14, Glenorchy Shopping Centre, Eady St, Glenorchy TAS 7010",Glenorchy Central,1024.0,40,10000.0,1,Pharmacy 'Blooms The Chemist Glenorchy' is 1024m from large shopping centre 'Glenorchy Central',
179,0.55,Item 125,TAS,Blooms The Chemist Glenorchy,"Shop 14, Glenorchy Shopping Centre, Eady St, Glenorchy TAS 7010",Club Hotel,1196.0,20,5000.0,1,Pharmacy 'Blooms The Chemist Glenorchy' is 1196m from large shopping centre 'Club Hotel',
180,0.55,Item 125,TAS,Blooms The Chemist Glenorchy,"Shop 14, Glenorchy Shopping Centre, Eady St, Glenorchy TAS 7010",Thirsty Camel Glenorchy,1230.0,20,5000.0,1,Pharmacy 'Blooms The Chemist Glenorchy' is 1230m from large shopping centre 'Thirsty Camel Glenorchy',
181,0.55,Item 125,TAS,Blooms The Chemist Huonville,"59 Main Street, Huonville, TAS 7109",Coffee House Cafe,1394.0,20,5000.0,1,Pharmacy 'Blooms The Chemist Huonville' is 1394m from large shopping centre 'Coffee House Cafe',
182,0.55,Item 125,TAS,Chemists' Own Trevallyn Pharmacy,TAS,Anaconda,1448.0,20,5000.0,1,Pharmacy 'Chemists' Own Trevallyn Pharmacy' is 1448m from large shopping centre 'Anaconda',
183,0.55,Item 125,TAS,Burnie Chemmart Pharmacy,TAS,Shorewell Plaza,1492.0,20,5000.0,1,Pharmacy 'Burnie Chemmart Pharmacy' is 1492m from large shopping centre 'Shorewell Plaza',
184,0.55,Item 124,TAS,Amcal,"502, Main Road, Montrose, TAS, 7010",Glenorchy Central,829.0,40,10000.0,1,Pharmacy 'Amcal' is 829m from large shopping centre 'Glenorchy Central',
185,0.5,Item 124,TAS,Rhys Jones Pharmacy,"G2/13 Bayfield Street, BELLERIVE, TAS, 7018",Eastlands Shopping Centre,696.0,94,22000.0,2,Pharmacy 'Rhys Jones Pharmacy' is 696m from large shopping centre 'Eastlands Shopping Centre',pharmacy 696m from centre
186,0.5,Item 124,TAS,TerryWhite Chemmart Kingston Town,"Shop 10-15b Kingston Town Shopping Centre, 37-59 Maranoa Road, KINGSTON, TAS, 7050",Channel Court Shopping Centre,684.0,80,16000.0,4,Pharmacy 'TerryWhite Chemmart Kingston Town' is 684m from large shopping centre 'Channel Court Shopping Centre',pharmacy 684m from centre
187,0.5,Item 124,TAS,Chemist Warehouse South Launceston,"98 Wellington Street, LAUNCESTON, TAS, 7250",Mortys Complex,454.0,20,5000.0,2,Pharmacy 'Chemist Warehouse South Launceston' is 454m from large shopping centre 'Mortys Complex',pharmacy 454m from centre
