opportunity_id,state,opportunity_lat,opportunity_lng,rule,confidence,poi_name,nearest_pharmacy_km,composite_score,property_address,rent_display,rent_pa,rent_sqm,floor_area_sqm,property_type,listing_url,agent,suitability_score,suitability_note
SA_119,SA,-34.8811731,138.4914867,Item 133,75%,Coles,0.12,418.3,"129A Tapleys Hill Road, Seaton, SA 5023",Renovated Office Space,0,0,113,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-129a-tapleys-hill-road-seaton-sa-5023-504948264,,100,"Retail/Medical, 113m² ideal"
SA_119,SA,-34.8811731,138.4914867,Item 133,75%,Coles,0.12,418.3,"Suite 7 & 8, 149 Brebner Drive, West Lakes, SA 5021","$39,000 p.a. + GST & Outgoings",39000.0,267.12,146,Medical & Consulting | Offices | Other,https://www.realcommercial.com.au/for-lease/property-suite-7-8-149-brebner-drive-west-lakes-sa-5021-504779908,,100,"Retail/Medical, 146m² ideal"
SA_119,SA,-34.8811731,138.4914867,Item 133,75%,Coles,0.12,418.3,"9 Charles Street, West Lakes, SA 5021",Contact Agent,0,0,110,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-9-charles-street-west-lakes-sa-5021-504300660,,100,"Retail/Medical, 110m² ideal"
SA_119,SA,-34.8811731,138.4914867,Item 133,75%,Coles,0.12,418.3,"516-520 Corner of Tapleys Hill Road & Henley Beach Road, Fulham, SA 5024","$200,000 p.a + GST & Outgoings",200000.0,500.0,400,Medical & Consulting,https://www.realcommercial.com.au/for-lease/property-516-520-corner-of-tapleys-hill-road-henley-beach-road-fulham-sa-5024-503430018,,100,"Retail/Medical, 400m² ideal"
SA_119,SA,-34.8811731,138.4914867,Item 133,75%,Coles,0.12,418.3,"Shop 10, 516-520 Corner of Tapleys Hill Road & Henley Beach Road, Fulham, SA 5024","$53,000 p.a. + GST & Outgoings",53000.0,473.21,112,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-shop-10-516-520-corner-of-tapleys-hill-road-henley-beach-road-fulham-sa-5024-503429798,,100,"Retail/Medical, 112m² ideal"
TAS_033,TAS,-41.068,145.905,Item 136,75%,TAS Family Medical Centre,0.44,374.0,"Shop 60, 54-62 Wilson Street, Burnie, TAS 7320",Contact Elders Commercial,0,0,138,Shops & Retail,https://www.realcommercial.com.au/for-lease/property-shop-60-54-62-wilson-street-burnie-tas-7320-505049180,,100,"Retail/Medical, 138m² ideal"
TAS_033,TAS,-41.068,145.905,Item 136,75%,TAS Family Medical Centre,0.44,374.0,"7 Bourke Street, Burnie, TAS 7320",Contact Elders Commercial,0,0,208,Medical & Consulting,https://www.realcommercial.com.au/for-lease/property-7-bourke-street-burnie-tas-7320-505005236,,100,"Retail/Medical, 208m² ideal"
TAS_033,TAS,-41.068,145.905,Item 136,75%,TAS Family Medical Centre,0.44,374.0,"Shop 1, 29 Wilmot Street, Burnie, TAS 7320",Contact Elders Commercial,0,0,139,Shops & Retail,https://www.realcommercial.com.au/for-lease/property-shop-1-29-wilmot-street-burnie-tas-7320-504650356,,100,"Retail/Medical, 139m² ideal"
TAS_025,TAS,-41.4267,147.1336,Item 134,70%,Northgate Shopping Centre,0.36,329.0,"Ground Floor, 49 York Street,Launceston, TAS 7250","$30,000 plus Outgoings and GST",30000.0,260.87,115,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-ground-floor-49-york-street-launceston-tas-7250-505034044,,100,"Retail/Medical, 115m² ideal"
TAS_025,TAS,-41.4267,147.1336,Item 134,70%,Northgate Shopping Centre,0.36,329.0,"B3, 75 Newnham Drive,Newnham, TAS 7248",Contact Agent,0,0,312,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-b3-75-newnham-drive-newnham-tas-7248-505021436,,100,"Retail/Medical, 312m² ideal"
TAS_025,TAS,-41.4267,147.1336,Item 134,70%,Northgate Shopping Centre,0.36,329.0,"B2, 75 Newnham Drive,Newnham, TAS 7248",Contact Agent,0,0,225,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-b2-75-newnham-drive-newnham-tas-7248-505021336,,100,"Retail/Medical, 225m² ideal"
TAS_025,TAS,-41.4267,147.1336,Item 134,70%,Northgate Shopping Centre,0.36,329.0,"Ground Floor, 68-72 Cameron Street,Launceston, TAS 7250","$40,000 Plus GST",40000.0,333.33,120,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-ground-floor-68-72-cameron-street-launceston-tas-7250-505026840,,100,"Retail/Medical, 120m² ideal"
TAS_025,TAS,-41.4267,147.1336,Item 134,70%,Northgate Shopping Centre,0.36,329.0,"109 Brisbane Street,Launceston, TAS 7250",Contact Agent,0,0,100,Shops & Retail | Medical & Consulting | Showrooms,https://www.realcommercial.com.au/for-lease/property-109-brisbane-street-launceston-tas-7250-505008692,,100,"Retail/Medical, 100m² ideal"
TAS_025,TAS,-41.4267,147.1336,Item 134,70%,Northgate Shopping Centre,0.36,329.0,"Ground  Shop 1, 111-113 St John Street, Launceston, TAS 7250",Contact Agent,0,0,245,Shops & Retail | Offices,https://www.realcommercial.com.au/for-lease/property-ground-shop-1-111-113-st-john-street-launceston-tas-7250-505057956,,100,"Retail/Medical, 245m² ideal"
SA_133,SA,-34.9739728,138.6088836,Item 133,70%,ALDI,0.17,301.4,"1/147 Goodwood Road, Goodwood, SA 5034",Contact Agent,0,0,200,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-1-147-goodwood-road-goodwood-sa-5034-505027488,,100,"Retail/Medical, 200m² ideal"
SA_133,SA,-34.9739728,138.6088836,Item 133,70%,ALDI,0.17,301.4,"456 Goodwood Road, Cumberland Park, SA 5041","$79,000 p.a. + GST & Outgoings",79000.0,272.41,290,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-456-goodwood-road-cumberland-park-sa-5041-504746776,,100,"Retail/Medical, 290m² ideal"
SA_133,SA,-34.9739728,138.6088836,Item 133,70%,ALDI,0.17,301.4,"T3 & T6/309-311 Goodwood Road, Kings Park, SA 5034",T6: $350/sqm,350.0,1.43,245,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-t3-t6-309-311-goodwood-road-kings-park-sa-5034-504662436,,100,"Retail/Medical, 245m² ideal"
TAS_034,TAS,-41.0552718,145.9062296,Item 134,55%,Express Auto Centre,0.35,294.4,"Shop 60, 54-62 Wilson Street, Burnie, TAS 7320",Contact Elders Commercial,0,0,138,Shops & Retail,https://www.realcommercial.com.au/for-lease/property-shop-60-54-62-wilson-street-burnie-tas-7320-505049180,,100,"Retail/Medical, 138m² ideal"
TAS_034,TAS,-41.0552718,145.9062296,Item 134,55%,Express Auto Centre,0.35,294.4,"7 Bourke Street, Burnie, TAS 7320",Contact Elders Commercial,0,0,208,Medical & Consulting,https://www.realcommercial.com.au/for-lease/property-7-bourke-street-burnie-tas-7320-505005236,,100,"Retail/Medical, 208m² ideal"
TAS_034,TAS,-41.0552718,145.9062296,Item 134,55%,Express Auto Centre,0.35,294.4,"Shop 2, 19B Goldie Street, Wynyard, TAS 7325",Contact Agent,0,0,102,Shops & Retail | Offices,https://www.realcommercial.com.au/for-lease/property-shop-2-19b-goldie-street-wynyard-tas-7325-504876876,,100,"Retail/Medical, 102m² ideal"
SA_127,SA,-34.9251529,138.5992786,Item 132,85%,Savings Bank Building,0.21,294.0,"206 Hutt Street,Adelaide, SA 5000",Contact Agent,0,0,150,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-206-hutt-street-adelaide-sa-5000-505029272,,100,"Retail/Medical, 150m² ideal"
