Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes
-33.0209725,137.5411879,,"Item 133, Item 134","Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 787 m) | Shopping centre 'Woolworths' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.79,TerryWhite Chemmart Westland,Woolworths,supermarket,SA,2026-02-14T16:51:50.435400,VERIFIED,All 1 nearby OSM pharmacies already in DB: TerryWhite Chemmart (1m)
-34.933070400000005,138.6594122,,"Item 133, Item 134","Supermarket 'IGA' (1,200 sqm) with no adjacent pharmacy (nearest 762 m) | Shopping centre 'OTR Hazelwood Park' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.71,TerryWhite Chemmart Hazelwood Park,OTR Hazelwood Park,shopping_centre,SA,2026-02-14T16:51:50.403247,VERIFIED,All 3 nearby OSM pharmacies already in DB: TerryWhite Chemmart (1m); Green Dispensary Pharmacy (1m); Pharmacy Plus (1m)
-35.5303157,138.6381617,,Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 672 m)",75%,0.67,TerryWhite Chemmart Hayborough Pharmacy,Aldi,supermarket,SA,2026-02-14T16:51:50.456978,VERIFIED,All 1 nearby OSM pharmacies already in DB: TerryWhite Chemmart (1m)
-33.1857282,138.0102996,,Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 621 m)",75%,0.62,TerryWhite Chemmart Port Pirie,Aldi,supermarket,SA,2026-02-14T16:51:50.450449,VERIFIED,All 3 nearby OSM pharmacies already in DB: TerryWhite Chemmart (1m); National Pharmacies (1m); Priceline Pharmacy (1m)
-34.9142509,138.65159110000002,,"Item 133, Item 134","Supermarket 'Chile Mojo' (1,500 sqm) with no adjacent pharmacy (nearest 382 m) | Shopping centre 'Organic Meats Company' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.56,National Pharmacies Kensington Park,Organic Meats Company,shopping_centre,SA,2026-02-14T16:51:50.426820,VERIFIED,All 5 nearby OSM pharmacies already in DB: National Pharmacies Kensington Park (0m); Trinity Gardens Pharmacy (1m); Priceline Pharmacy (1m)
-35.0163122,138.6159732,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 469 m)",75%,0.47,TerryWhite Chemmart Main Road Blackwood,ALDI,supermarket,SA,2026-02-14T16:51:50.430820,VERIFIED,All 2 nearby OSM pharmacies already in DB: Blackwood Goodlife Pharmacy (0m); National Pharmacies (0m)
-34.8808904,138.5030345,,"Item 133, Item 134","Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 437 m) | Shopping centre 'Aldi' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.44,TerryWhite Chemmart Woodlakes Day/Night Compounding Pharmacy,Aldi,supermarket,SA,2026-02-14T16:51:50.438398,VERIFIED,No pharmacies found in OSM within search radius
-34.279962600000005,140.60929215,,"Item 133, Item 134","Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 419 m) | Shopping centre 'Riverland Central Plaza' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.42,Berri Medical Pharmacy,Aldi,supermarket,SA,2026-02-14T16:51:50.440398,VERIFIED,All 2 nearby OSM pharmacies already in DB: Berri Medical Pharmacy (0m); Amcal (1m)
-34.9759747,138.51801,,Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 379 m)",75%,0.38,Bayside Pharmacy Practice,Aldi,supermarket,SA,2026-02-14T16:51:50.432820,VERIFIED,All 7 nearby OSM pharmacies already in DB: Better Health (0m); National Pharmacy (0m); Chemist Warehouse (1m)
-34.9157539,138.6280969,,Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 373 m)",75%,0.37,TerryWhite Chemmart Stepney,Aldi,supermarket,SA,2026-02-14T16:51:50.451470,VERIFIED,All 7 nearby OSM pharmacies already in DB: Priceline Pharmacy (1m); TerryWhite Chemmart (1m); National Pharmacies (1m)
-35.53446735,138.63750535,,"Item 133, Item 134","Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 341 m) | Shopping centre 'The Reject Shop' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.34,TerryWhite Chemmart Hayborough Pharmacy,Coles,supermarket,SA,2026-02-14T16:51:50.447399,VERIFIED,All 1 nearby OSM pharmacies already in DB: TerryWhite Chemmart (0m)
-34.8900432,138.6027341,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 325 m)",75%,0.33,Nairne Community Soul Pattinson Chemist,ALDI,supermarket,SA,2026-02-14T16:51:50.429820,VERIFIED,All 3 nearby OSM pharmacies already in DB: Guardian (1m); Star Discount Chemist (1m); Star Discount Chemist (1m)
-34.6846865,138.6897402,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 304 m)",75%,0.3,Munno Para Medical Centre Pharmasave Pharmacy,ALDI,supermarket,SA,2026-02-14T16:51:50.442398,VERIFIED,All 1 nearby OSM pharmacies already in DB: Priceline Pharmacy (0m)
